Key Date;Legal Entity;Business Portfolio;Cohort;Factor Actuals;Factor Estimates
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;3,75;3,75
20211231;005;21;0000;L41100;96,25;96,25
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;3,75;3,75
20211231;005;21;0000;L41100;96,25;96,25
20211231;005;21;0000;L41100;94,05;94,05
20211231;005;21;0000;L41100;5,95;5,95
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;94,05;94,05
20211231;005;21;0000;L41100;5,95;5,95
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;3,75;3,75
20211231;005;21;0000;L41100;96,25;96,25
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;3,75;3,75
20211231;005;21;0000;L41100;96,25;96,25
20211231;005;21;0000;L41100;94,05;94,05
20211231;005;21;0000;L41100;5,95;5,95
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;94,05;94,05
20211231;005;21;0000;L41100;5,95;5,95
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;0,00;0,00
20211231;005;21;0000;L41100;3,75;3,75
20211231;005;21;0000;L41100;96,25;96,25
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;100,00;100,00
20211231;005;21;0000;L41100;100,00;100,00
